"","bath_180sec","no_ice_bath","bath_30sec"
"1",31.7708481394554,34.7777807213,29.4931060106298
"2",37.1665813246165,39.699363544469,38.4633322678719
"3",39.9386328466582,33.3188631261725,34.3642630916834
"4",29.3767876516256,38.5553153644321,34.4734831844103
"5",33.1539740759694,35.5242204142963,34.709612234665
"6",34.227820377351,31.5380659458904,27.3100285458447
"7",35.2521923432093,34.385483327926,37.8856351820093
"8",32.2181470357551,33.1789695102718,34.7786842217407
"9",36.0528280958092,37.0955576036554,32.0689721439434
"10",33.9548565771969,30.1139338841525,30.937973784662
"11",33.9274495346648,34.856144662097,29.5953612703743
"12",33.1185414257263,28.3483996620514,32.2510903774041
"13",34.0051408218654,38.2148432248061,33.7489273093134
"14",35.7545883339033,35.0759487610259,32.7645579948822
"15",31.4347296701441,30.4507819353458,35.3571662147338
"16",34.3004195788082,32.3622570825049,31.797998746868
"17",39.8302858186744,38.9168237314035,36.1826319196194
"18",32.8326539268853,31.1183500554533,33.4308946196856
"19",35.5731584380407,37.1302932444613,35.5878012372021
"20",36.1920178456978,32.2157974972706,37.3894995414833
"21",35.0770141381613,29.0191205053465,34.3251354800603
"22",30.1544285827566,33.2845147375201,33.0606115160744
"23",33.7205137341792,37.4117030998011,33.5784881757698
"24",32.1747805887039,22.9374458132931,30.3269408431083
"25",37.3274050196457,32.8039549905254,33.9126042017631
"26",33.6263329860874,36.5189887891203,36.3272796451056
"27",30.2250393384976,36.3261189865978,33.0254272138158
"28",32.2092514389552,30.8195385056277,30.3260334665297
"29",29.7329561626841,30.8373919248191,34.0796001803509
"30",37.9410583615922,36.0016218670618,35.6972742317493
"31",35.02030680133,34.5187799511071,37.6061738936532
"32",31.6662173120236,34.4838599682695,35.8967781783841
"33",37.1722860071579,32.1993211359086,39.8214681366144
"34",33.2822207204345,37.359094170968,34.8718966062085
"35",35.1513226417718,32.9749838659069,42.3967156099497
"36",28.149037583161,30.3285858899645,28.9359308145699
"37",39.0447752249736,33.4810821046365,33.8103069411569
"38",36.1300239183911,341.986390078765,36.7733517137873
"39",35.7111347986092,29.2022529949545,36.7827658138257
"40",34.6670508077764,31.5025984612172,38.0140719915457
"41",38.1600889967082,30.7518501044887,26.8339951147992
"42",35.2139383380701,33.0680912074605,32.7668905661675
"43",37.9702394732983,32.4020396189878,33.1918501772758
"44",34.9892560920143,32.0063371506456,35.4542571897221
"45",36.892696639176,36.8922620863969,39.9083508796432
"46",28.558505332344,32.973679549775,31.7157974601702
"47",33.7044703171913,33.7385419572855,33.2513649355001
"48",34.5667863670922,32.1852541973131,36.377260195802
"49",33.8924945466871,30.0125361858437,33.1451689903775
"50",34.8284754753908,36.5509846820606,37.1172220488587
"51",43.4722166367754,32.620775938723,31.9719000277967
"52",38.3535123009369,35.0148644199569,34.2993917431548
"53",33.1797441007688,32.7432895952674,31.7434971770015
"54",36.5792693206347,33.1635918255104,34.5623383072779
"55",30.0918896808209,38.2567608312035,38.7915807920249
"56",32.5213717682774,29.1622979964072,30.5225539557553
"57",38.4697631522946,38.4036934528995,34.6163043365003
"58",38.6540395054917,33.6584116849836,37.8538475350392
"59",33.4822132250069,36.787810213499,33.1752428640791
"60",31.5715416889529,30.4520810922728,35.8752628018162
"61",33.8690433972734,33.6755064529036,34.8282489746028
"62",36.3362868562898,36.3849837828731,34.3525062284748
"63",32.4755375467239,34.7244156613066,37.5539398673293
"64",32.2412662869185,40.6333791959322,33.2089029701471
"65",35.1243906585715,34.2729068268065,37.7329944727031
"66",34.4762658605823,35.6960556144061,40.2425666991573
"67",32.0231035894106,29.3506718435746,40.3339766430458
"68",36.3398780487569,25.0961724690142,35.666200784925
"69",28.4416164889981,28.4332261060773,34.6206924308466
"70",32.0586674314615,30.8198996136459,38.7233947280983
"71",34.6654778325765,36.7163827101575,35.7060211424595
"72",36.4610070459024,30.0835284732922,33.3096646007273
"73",31.3437338675279,34.993112683183,33.4583437661742
"74",41.1251171853203,34.0020387420547,32.5416143175375
"75",39.0336247707428,34.796024567716,37.5283267301883
"76",34.741931060184,37.0114041495577,34.4864423419679
"77",36.0287761328477,33.8644866329179,31.953982813214
"78",30.0581385907557,33.7393100562374,33.0730133813123
"79",30.9020405196277,35.1093095124376,39.1615613115831
"80",38.248781080777,30.2576530822118,34.9383800058784
"81",37.7071420938673,33.3110523319477,34.4886333696411
"82",33.354124176312,33.7066472294832,29.5510907949019
"83",34.4550833773237,36.1376841791969,34.6499601923686
"84",34.2374697450444,28.6209670897343,38.1564982700694
"85",38.7594032040548,36.2795327878852,39.1864441410366
"86",35.8721460159706,34.0134631580281,33.3855982635535
"87",38.4775206443478,31.9864854023052,34.013700849188
"88",35.739482382916,31.5222577122715,35.951054356976
"89",31.6790990847438,34.7774778637919,38.2561142549156
"90",36.7916409491924,32.5954014309521,36.5144982933408
"91",30.5290503485177,32.4734476284261,33.5924408035113
"92",31.634656929684,27.2439149617994,35.980355612433
"93",37.2726040759172,30.6290078856137,37.6855920043095
"94",34.6428365617171,38.4995486279707,32.7265342997726
"95",29.7943421533906,38.3090871062597,35.3988341429361
"96",40.0344354428414,35.2317531567551,28.6887496922869
"97",34.2390028013706,38.0494703658901,33.8437042324911
"98",32.1615295931873,36.0441449031757,31.1132632495051
"99",30.8972379687962,31.5376187532633,40.6517652571865
"100",34.6915441247848,38.9841518171017,37.2985167486188
"101",37.0573477860495,34.7800823808501,35.3608204083544
"102",39.3759956799414,33.2398719671503,27.6560652039198
"103",34.3892345677906,36.196960289957,34.8878109598601
"104",36.8814558457379,33.7112750719585,33.2823693341027
"105",31.8364946465205,32.3198799465353,40.4057424979741
"106",30.784195520611,34.1019053480606,37.6574148797987
"107",35.0199033008287,36.3505973182673,35.6203738288825
"108",32.4751904487188,34.1957622851476,44.1388007875609
"109",35.9972579880846,35.5012884480405,31.9410202795443
"110",35.1697319795328,33.9829544843104,40.0701463569909
"111",37.3543048563153,28.3638255315607,35.9987938406235
"112",37.8793554959756,31.9598051059072,38.9995482711505
"113",36.1355713285932,37.2217951376997,35.2262942582351
"114",33.1506895153979,32.3913114061464,31.7759851923868
"115",34.26335787179,31.7022434569774,37.575919481506
"116",35.2625682500459,34.6598024228923,31.9490932644827
"117",33.9987246284613,31.225004382779,36.1814292465432
"118",32.9845075412225,36.5295450831445,31.7014172654617
"119",33.4528730714137,36.2618667487568,37.84336847346
"120",38.6794005490466,29.115279325272,38.3013201036685
"121",31.0699890040606,32.4603432332561,30.5216868812654
"122",31.2516998153099,32.2256450363823,38.2896212422133
"123",33.7226327569671,27.757068842947,34.8532478676085
"124",32.1448910876528,34.5977644898893,33.4702629387937
"125",32.6318700471609,35.8621755472373,36.6779119362772
"126",34.2731452318158,36.8044426287764,38.2117158636435
"127",32.8700014362915,34.5687395784079,28.0295320660752
"128",34.1284174817054,32.2620713726139,34.2390272383519
"129",28.6787958438048,32.8692128661419,33.7693395343484
"130",35.3995811398635,30.6454824089461,36.102388351788
"131",36.7843213956542,28.9908132899055,33.3010277745975
"132",37.3188660125946,29.5426628453261,28.5869069736311
"133",38.3107496229291,29.4325990474758,35.0988037064027
"134",37.7943937614535,28.918760496175,34.9837570499809
"135",31.9597046335303,25.7621916091198,35.9360809009728
"136",33.7249284185049,35.4909293064863,32.7247084359229
"137",37.2110578031932,31.0589106331689,40.2622060198555
"138",37.3567139104398,32.6181081408017,30.3794349723097
"139",32.0913513397611,34.2592904453012,33.0852405513424
"140",31.7356835440218,35.2718030334734,32.5404158744341
"141",38.1432361404919,28.6783373762081,36.7447294008326
"142",32.3245840179967,35.9757249888769,38.4643398352577
"143",32.9381329026162,31.3988482341469,33.1959371714871
"144",37.0525882300116,33.3727993189266,33.5318816955099
"145",31.3758947032469,30.6876378980443,36.4765745534865
"146",37.7117785703066,35.4492163765425,39.0096342619705
"147",27.5479281396349,34.6647831258303,35.9760282114541
"148",34.7429235377757,26.0283878870572,38.8296777783541
"149",43.6520398169455,28.0405099440726,35.4147866273562
"150",42.186496339336,37.7428681502872,30.0168871140318
